Growth Score,Ticker,Sector,Tier,Price,Target (Bear),Target (Base),Target (Bull),Upside %,Fwd PEG,PEG Target,Rev Target,S-Curve TAM Target,Fwd EPS,EPS Source,Fwd EPS Growth %,EPS Growth QoQ %,Rev Growth % (Fwd),Rev Growth QoQ %,P/E (TTM),Gross Margin %,Op Margin %,Net Margin %,FCF Margin %,ROE %,Perf 1M %,Perf 3M %,Perf 6M %,52wk Position %,TV Rating,Momentum Score,Market Cap,Beta,Flags
73.5,CARG,Technology Services,EXCEPTIONAL GROWTH,33.66,60.48,78.52,90.73,133.3,0.35,100.89,50.16,58.8,2.52,analyst_fy,61.9,19.0,11.8,14.7,21.6,87.6,24.4,17.0,28.3,34.9,14.6,-5.7,-7.4,61.0,Buy,9.0,3204066788.0,0.94,
72.2,CDE,Non-Energy Minerals,EXCEPTIONAL GROWTH,22.64,45.28,56.6,67.92,150.0,0.2,81.66,57.75,176.75,2.04,analyst_fy,121.7,252.5,114.7,121.1,24.6,39.3,36.3,28.3,32.2,26.4,2.8,37.8,58.2,77.9,Neutral,9.0,14537087782.0,1.46,
71.5,CTRE,Finance,EXCEPTIONAL GROWTH,39.94,79.54,99.43,119.32,148.9,,,40.0,235.18,,analyst_fy,,74.2,58.1,55.3,25.7,78.7,65.3,67.1,79.5,9.2,8.4,5.7,16.6,89.0,Buy,9.0,8916094595.0,0.17,
71.5,PEGA,Technology Services,STRONG GROWTH,47.24,50.15,64.81,87.96,37.2,0.82,73.6,58.37,53.58,2.71,analyst_fy,27.2,104.6,9.7,2.7,22.2,75.7,16.3,22.5,28.1,57.3,19.4,-17.9,-12.7,45.5,Sell,5.0,7985625447.999999,1.65,
71.0,FRO,Transportation,EXCEPTIONAL GROWTH,34.56,69.12,86.4,103.68,150.0,0.08,236.07,42.37,121.14,5.9,analyst_fy,246.6,241.5,31.5,46.7,20.3,32.8,30.2,19.3,34.1,15.6,21.8,49.3,57.4,80.6,Buy,15.0,7693847531.999999,1.17,
71.0,PIPR,Finance,EXCEPTIONAL GROWTH,293.52,452.44,576.53,744.52,96.4,0.84,424.41,440.45,1061.65,19.29,analyst_fy,22.0,65.6,33.6,37.5,18.6,92.2,20.2,14.7,36.5,21.7,-13.0,-12.9,-11.6,51.1,Strong Sell,2.0,5231241036.999999,1.41,
70.5,ECO,Transportation,EXCEPTIONAL GROWTH,47.69,95.38,119.22,143.07,150.0,0.12,309.1,94.77,234.16,7.73,analyst_fy,106.8,330.3,34.1,48.9,12.8,46.7,41.5,31.4,18.4,25.0,18.9,31.4,72.9,75.6,Neutral,14.0,1862039536.0000002,1.34,
70.2,TMDX,Health Technology,EXCEPTIONAL GROWTH,129.61,184.04,230.05,276.06,77.5,,,170.95,409.65,,analyst_fy,,1223.1,34.7,32.2,26.7,59.9,17.9,31.4,22.1,54.2,-4.1,-7.2,24.5,71.9,Sell,4.0,4445940342.0,1.18,
70.0,AROC,Industrial Services,MODERATE GROWTH,35.32,33.89,42.75,53.15,21.0,2.81,13.42,45.18,92.93,1.95,analyst_fy,6.9,95.4,22.1,15.5,19.3,48.6,38.7,21.4,8.0,22.7,17.7,40.0,39.5,88.7,Buy,16.0,6179088324.999999,1.01,
69.2,DBRG,Finance,EXCEPTIONAL GROWTH,15.4,30.8,38.5,46.2,150.0,,,22.79,90.65,,analyst_fy,,,61.5,101.5,34.1,92.9,64.5,34.8,62.2,7.1,-0.2,58.8,36.6,98.4,Neutral,10.0,2907672927.0,2.4,
68.7,EXEL,Health Technology,EXCEPTIONAL GROWTH,41.55,53.13,68.23,90.58,64.2,0.79,62.91,73.82,61.06,3.31,analyst_fy,19.0,85.7,6.3,5.6,14.9,96.4,38.5,33.7,37.7,35.5,-2.9,-6.0,10.8,53.2,Sell,5.0,10789596602.0,1.44,
68.0,BCRX,Health Technology,EXCEPTIONAL GROWTH,8.48,16.96,21.2,25.44,150.0,,,21.52,242.07,,analyst_fy,,,174.6,209.1,7.0,97.7,39.0,30.2,37.4,,26.2,8.2,2.5,46.7,Buy,9.0,2126789216.0000002,0.84,
67.9,TGTX,Health Technology,EXCEPTIONAL GROWTH,29.27,58.54,73.17,87.81,150.0,,,112.13,599.48,,analyst_fy,,-0.7,82.7,78.0,10.5,83.6,20.0,72.6,-4.1,102.8,-2.4,-6.8,-8.3,18.8,Sell,5.0,4674075083.0,0.22,NEG FCF
67.8,EZPW,Finance,EXCEPTIONAL GROWTH,25.33,37.81,48.07,61.62,89.8,1.03,28.36,57.78,87.09,1.79,analyst_fy,15.8,49.0,17.4,19.3,16.4,56.2,12.5,9.2,9.4,13.0,14.4,27.0,49.8,86.4,Buy,16.0,1562790720.0,0.11,
67.7,OPRA,Technology Services,EXCEPTIONAL GROWTH,15.29,27.89,34.87,41.84,128.0,,,36.3,58.68,,analyst_fy,,93.3,25.7,22.6,12.8,43.1,15.0,17.6,18.7,11.1,16.3,14.1,-14.2,38.3,Buy,13.0,1370718773.0,1.53,
67.4,HL,Non-Energy Minerals,EXCEPTIONAL GROWTH,20.39,30.09,38.58,45.13,89.2,0.44,37.75,15.0,82.75,0.94,analyst_fy,94.9,965.8,71.6,79.5,42.1,40.9,37.2,22.6,21.8,13.9,-15.8,19.5,124.1,53.6,Sell,7.0,13668431860.0,1.51,
67.1,OPY,Finance,EXCEPTIONAL GROWTH,85.57,171.14,213.92,256.71,150.0,0.08,937.08,406.99,824.81,23.43,ttm×growth,80.0,589.1,23.5,27.3,6.6,96.0,18.2,9.1,11.4,16.2,-0.8,24.5,14.1,81.0,Sell,7.0,907691449.0,0.87,
67.0,NFG,Energy Minerals,EXCEPTIONAL GROWTH,92.93,140.64,178.02,224.29,91.6,1.33,76.98,194.81,401.37,7.87,analyst_fy,9.8,301.5,28.5,22.7,13.0,45.8,41.6,28.0,8.8,20.7,10.5,13.0,7.1,95.0,Buy,10.0,8830805295.0,0.24,
67.0,KRYS,Health Technology,STRETCHED VALUATION,253.69,143.07,181.62,231.33,-28.4,2.95,96.64,240.15,458.27,7.7,analyst_fy,12.5,11.6,25.7,17.5,37.1,92.5,41.4,52.6,48.5,18.9,-9.8,14.2,68.8,74.6,Sell,7.0,7415914144.0,0.34,
67.0,DUOL,Technology Services,EXCEPTIONAL GROWTH,101.92,203.84,254.8,305.76,150.0,,,300.86,743.21,,analyst_fy,,199.8,36.8,35.0,12.1,71.7,13.6,39.9,35.6,38.1,-14.7,-46.0,-62.7,2.2,Sell,0.0,4785173499.000001,1.54,
67.0,STNG,Transportation,EXCEPTIONAL GROWTH,76.85,104.9,131.12,157.35,70.6,,,141.82,177.5,,analyst_fy,,81.4,9.3,23.9,10.9,46.2,33.0,36.7,45.4,11.4,17.5,37.0,48.7,90.2,Buy,16.0,3977970385.0000005,0.98,
66.6,TIGO,Communications,EXCEPTIONAL GROWTH,69.28,138.56,173.2,207.84,150.0,,,259.21,272.55,,analyst_fy,,737.9,11.1,15.7,8.8,55.4,25.2,22.6,21.0,36.2,9.5,32.7,43.2,87.8,Buy,15.0,11572530531.000002,-0.03,
66.0,VIRT,Finance,EXCEPTIONAL GROWTH,41.01,82.02,102.52,123.03,150.0,,,74.6,285.05,,analyst_fy,,49.9,22.2,21.4,8.0,45.4,35.5,13.4,39.8,30.9,6.6,15.4,1.7,66.5,Buy,12.0,6342793792.000001,0.49,
