MF Rank,EY Rank,ROC Rank,Combined Rank,MF Score,Grade,Ticker,Sector,Price,Market Cap,EBIT,EV,Earnings Yield %,ROC % (Greenblatt),ROE %,Gross Margin %,Op Margin %,FCF Margin %,P/E,D/E,Beta,Rev Growth %,EPS Growth %,Perf 1M %,Perf 3M %
347,260,339,599,20.5,C,HII,Electronic Technology,413.7,16234700085.17,608000000.0,15605758000.0,3.9,8.1,12.4,12.7,4.9,6.4,26.9,0.59,0.92,8.2,10.1,3.2,27.6
348,374,225,599,20.2,C,WDAY,Technology Services,137.84,35424881365.92,1066000000.0,44632873930.0,2.39,15.6,8.2,75.7,11.2,29.1,53.3,0.49,1.07,13.3,32.2,-7.9,-37.8
349,370,233,603,20.0,D,RBC,Producer Manufacturing,559.52,17691442171.13,378781609.52,15388376667.36,2.46,15.2,8.7,40.0,23.1,20.2,65.8,0.32,0.77,11.1,16.7,2.9,24.5
350,253,352,605,19.8,D,WMB,Industrial Services,74.4,90884290902.87,4196222466.96,105398860000.0,3.98,7.4,20.7,41.6,35.5,7.6,34.9,2.31,0.24,9.8,17.5,10.8,22.5
351,393,212,605,19.5,D,MRVL,Electronic Technology,90.44,78994805128.05,1338400000.0,69403104000.0,1.93,16.7,19.3,50.1,16.3,17.0,29.3,0.31,1.9,42.1,,13.6,-0.6
352,273,334,607,19.3,D,NDAQ,Finance,85.5,48601948127.72,2446026527.14,64712445000.0,3.78,8.5,15.3,56.2,29.6,24.1,27.6,0.78,0.74,11.1,60.4,1.0,-7.3
353,355,252,607,19.1,D,APG,Industrial Services,41.59,18110617919.31,505000000.0,18076160000.0,2.79,14.0,9.5,28.5,6.4,8.4,,0.9,1.06,12.7,-20.5,-6.4,3.9
354,340,268,608,18.9,D,ENTG,Producer Manufacturing,116.18,17659359585.5,496500000.0,16299725000.0,3.05,12.7,6.2,38.8,15.5,12.4,75.0,0.96,2.43,-1.4,-19.7,-4.9,24.5
355,194,418,612,18.6,D,FCNCA,Finance,1858.82,21895261141.04,3091000000.0,63444283433.04,4.87,1.5,9.9,,21.4,9.4,11.2,1.63,0.48,-3.1,-12.5,-13.5,-9.3
356,240,374,614,18.4,D,VTRS,Health Technology,13.97,16084957640.23,1141800000.0,27596870000.0,4.14,4.9,-21.1,38.5,8.0,13.6,,1.0,1.12,-2.6,-454.8,-5.3,20.6
357,394,220,614,18.2,D,CVNA,Retail Trade,309.48,67728212035.81,1884000000.0,98676794440.0,1.91,16.1,59.9,19.8,9.3,4.4,31.6,1.64,2.28,48.6,522.6,-22.7,-34.2
358,239,377,616,17.9,D,VNOM,Miscellaneous,43.81,15664215877.83,604550853.75,14601520190.0,4.14,4.8,-2.2,48.0,44.9,78.2,,0.49,0.6,57.8,-106.3,1.7,8.7
359,268,348,616,17.7,D,APD,Process Industries,277.69,61829349407.12,2840166064.58,74598958000.0,3.81,7.7,-2.0,31.7,23.6,-23.3,,1.18,0.93,1.4,-108.7,-1.6,16.2
360,199,420,619,17.5,D,TFC,Finance,45.65,57024536356.18,6442000000.0,134265688380.0,4.8,1.4,8.2,,21.1,21.1,11.9,1.09,1.26,24.6,14.8,-17.8,-7.0
361,431,194,625,17.2,D,PLTR,Technology Services,151.6,362578035130.0,1414015000.0,450589611750.0,0.31,18.3,26.2,82.4,31.6,46.9,239.6,0.03,2.06,56.2,234.6,11.0,-18.0
