ticker,company,sector,price,mktcap_bn,score,tier,accruals,cash_conv,fcf_conv,gross_margin,net_margin,roa,de
CRH,CRH PLC,Non-Energy Minerals,107.53,71.851566186,86.2,Excellent,-3.71,1.58,0.84,36.0894353800523,9.58461417199604,6.62742533245721,0.885440596419746
HIG,"The Hartford Insurance Group, Inc.",Finance,137.85,37.788932224,86.2,Excellent,-2.71,1.56,1.52,,14.112006670372402,5.26274875621891,0.231457462014929
CTSH,Cognizant Technology Solutions Corporation,Technology Services,41.99,19.897780106,86.2,Excellent,-2.57,1.24,1.11,30.874521162290904,10.4129683266374,11.0163837200682,0.07247146270241571
ADP,"Automatic Data Processing, Inc.",Technology Services,242.27,96.843626559,86.1,Excellent,-2.13,1.34,1.3,50.569662739288404,20.1171269183584,7.186470502626251,0.692587518306798
CMI,Cummins Inc.,Producer Manufacturing,661.7,91.307362321,86.0,Excellent,-3.16,1.38,0.94,25.0870360535788,7.886351566648969,7.98196368848543,0.667152457290908
KKR,KKR & Co. Inc.,Finance,93.84,84.256391976,85.9,Excellent,-1.54,3.67,3.6,44.8966471100744,13.231900628319798,0.755073731011576,1.7984478566854
NTRS,Northern Trust Corporation,Finance,176.5,32.66084346,85.5,Excellent,-0.43,1.43,1.39,,12.702850877193,1.09149098103758,1.2605699414043001
CINF,Cincinnati Financial Corporation,Finance,192.03,29.704493929000005,85.5,Excellent,-2.63,1.45,1.44,,21.3258044554455,7.173709408825981,0.0562555682830597
PLD,"Prologis, Inc.",Finance,139.43,132.741677127,85.2,Excellent,-1.84,1.54,1.28,44.1986503408233,41.5419886826211,3.82971665505175,0.659961634962234
CARR,Carrier Global Corporation,Producer Manufacturing,70.07,58.198771481,85.2,Excellent,-1.62,1.4,1.12,25.1760402377686,5.86191129401006,3.48213436910081,0.934656556645852
EW,Edwards Lifesciences Corporation,Health Technology,94.37,54.33824643,85.2,Excellent,-2.24,1.28,1.03,77.9741413500436,17.063536130721,8.16596124281132,0.0680610021786492
CMG,"Chipotle Mexican Grill, Inc.",Consumer Services,35.39,45.395955788,85.1,Excellent,-7.64,1.44,0.98,21.5894679695088,11.9617352592023,16.2712000400284,2.178851860851
XYL,Xylem Inc.,Producer Manufacturing,118.12,28.076356484,85.1,Excellent,-2.12,1.38,0.97,38.4759387732629,10.802775024777,5.85444454390833,0.187841779074007
MO,"Altria Group, Inc.",Consumer Non-Durables,72.71,121.417790194,85.0,Excellent,-5.69,1.28,1.24,79.389125851841,39.3783399519537,22.8363470942795,
QSR,Restaurant Brands International Inc.,Consumer Services,74.79,34.129708228000005,85.0,Excellent,-3.82,2.22,1.89,48.5764938992596,11.2524767963294,4.33672956735061,4.18995458188619
IQV,"IQVIA Holdings, Inc.",Health Technology,207.04,34.554973616000005,84.7,Excellent,-4.53,1.99,1.56,25.974025974026,8.32732082732083,4.85990490727582,2.58238225365697
DOV,Dover Corporation,Producer Manufacturing,213.71,28.778490295000005,84.7,Excellent,-2.03,1.25,1.04,40.0411949805166,13.2478154039759,8.38789858761698,0.43927410911194104
OTIS,Otis Worldwide Corporation,Industrial Services,73.14,28.06499272,84.7,Excellent,-4.13,1.31,1.21,30.518194852188195,10.1112855874923,13.6372007366483,
MNST,Monster Beverage Corporation,Consumer Non-Durables,97.6,95.453590793,84.6,Excellent,-2.68,1.15,1.09,55.470713547796,23.1082274280354,21.3095356764806,0.0
AJG,Arthur J. Gallagher & Co.,Finance,252.44,64.851835086,84.6,Excellent,-0.67,1.35,1.25,90.8150997836018,10.763137506345,2.11487519086699,0.562439537329127
AME,"AMETEK, Inc.",Producer Manufacturing,234.62,53.775607428,84.6,Excellent,-2.18,1.24,1.15,40.6370474185076,20.1082528625555,9.79740966569938,0.22488938619400098
VZ,Verizon Communications Inc.,Communications,42.56,177.71180026600004,84.5,Excellent,-4.83,2.17,1.18,45.4953789544795,12.4617308438618,4.34452537187784,1.8959819570415
ECL,Ecolab Inc.,Process Industries,283.36,79.74812587699998,84.5,Excellent,-3.81,1.46,0.9,44.3646177130249,12.7988184022903,8.88349821756281,0.9262887473885191
CTAS,Cintas Corporation,Commercial Services,181.37,72.563800395,84.5,Excellent,-3.88,1.22,0.99,48.6450425810336,17.5096057842374,19.4591576044111,0.609430573953671
TGT,Target Corporation,Retail Trade,130.21,59.140230294,84.5,Excellent,-5.69,1.89,0.82,25.6502815458229,3.2441223196743705,6.0440474626735,1.17151570600793
UAL,"United Airlines Holdings, Inc.",Transportation,133.32,43.27163913599999,84.5,Excellent,-7.62,2.84,0.96,28.6938113981411,6.06125756623557,4.66724397015001,1.9508062484253001
